"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 81)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 82)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 83)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 84)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 85)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 86)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 87)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 88)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 89)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 90)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 91)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 92)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 93)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 94)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 95)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 96)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 97)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 98)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 99)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 100)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 101)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 102)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 103)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 104)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 105)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 106)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 107)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 108)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 109)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 110)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 111)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 112)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 113)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 114)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 115)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 116)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 117)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 118)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 119)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 120)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 121)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 122)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 123)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 124)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 125)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 126)",2018,09,WOODLANDS,10,126,Standard,1976,2563
"(1, 127)",2018,09,CHOA CHU KANG,706,132,Model A,1995,3023
"(1, 128)",2018,09,CHOA CHU KANG,706,132,Model A,1995,3023
"(1, 129)",2018,09,CHOA CHU KANG,706,132,Model A,1995,3023
"(1, 130)",2018,09,CHOA CHU KANG,706,132,Model A,1995,3023
"(1, 131)",2018,09,CHOA CHU KANG,706,132,Model A,1995,3023
"(1, 132)",2018,09,CHOA CHU KANG,706,132,Model A,1995,3023
"(1, 133)",2018,09,BUKIT PANJANG,452,142,Apartment,1997,3028
"(1, 134)",2018,09,BUKIT PANJANG,452,142,Apartment,1997,3028
"(1, 135)",2018,09,BUKIT PANJANG,452,142,Apartment,1997,3028
"(1, 136)",2018,09,BUKIT PANJANG,452,142,Apartment,1997,3028
"(1, 137)",2018,09,BUKIT PANJANG,452,142,Apartment,1997,3028
"(1, 138)",2018,09,BUKIT PANJANG,452,142,Apartment,1997,3028
"(1, 139)",2018,09,BUKIT PANJANG,452,142,Apartment,1997,3028
"(1, 140)",2018,09,BUKIT PANJANG,452,142,Apartment,1997,3028
"(1, 141)",2018,09,BUKIT PANJANG,452,142,Apartment,1997,3028
"(1, 142)",2018,09,BUKIT PANJANG,452,142,Apartment,1997,3028
"(1, 143)",2018,09,WOODLANDS,134,158,Apartment,1995,3241
"(1, 144)",2018,09,WOODLANDS,134,158,Apartment,1995,3241
"(1, 145)",2018,09,WOODLANDS,134,158,Apartment,1995,3241
"(1, 146)",2018,09,WOODLANDS,134,158,Apartment,1995,3241
